monthOfFirstRegistration,fuelType,total
2022-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,3
2022-11-01 00:00:00.000000 UTC,DIESEL,469
2021-10-01 00:00:00.000000 UTC,PETROL,1
2019-11-01 00:00:00.000000 UTC,PETROL,1
2022-11-01 00:00:00.000000 UTC,HYBRID ELECTRIC,3
2022-12-01 00:00:00.000000 UTC,ELECTRICITY,13
2004-03-01 00:00:00.000000 UTC,DIESEL,941
2007-10-01 00:00:00.000000 UTC,DIESEL,632
2007-12-01 00:00:00.000000 UTC,DIESEL,294
2018-07-01 00:00:00.000000 UTC,DIESEL,492
2013-05-01 00:00:00.000000 UTC,DIESEL,458
2008-01-01 00:00:00.000000 UTC,DIESEL,1160
2008-06-01 00:00:00.000000 UTC,DIESEL,806
2018-06-01 00:00:00.000000 UTC,DIESEL,745
2017-02-01 00:00:00.000000 UTC,DIESEL,513
2018-01-01 00:00:00.000000 UTC,DIESEL,825
2017-07-01 00:00:00.000000 UTC,DIESEL,411
2016-08-01 00:00:00.000000 UTC,DIESEL,514
2017-11-01 00:00:00.000000 UTC,DIESEL,376
2012-06-01 00:00:00.000000 UTC,DIESEL,449
2015-09-01 00:00:00.000000 UTC,DIESEL,797
2016-03-01 00:00:00.000000 UTC,DIESEL,1154
2014-03-01 00:00:00.000000 UTC,DIESEL,951
2016-04-01 00:00:00.000000 UTC,DIESEL,601
2009-01-01 00:00:00.000000 UTC,DIESEL,639
2006-08-01 00:00:00.000000 UTC,DIESEL,567
2015-06-01 00:00:00.000000 UTC,DIESEL,736
2014-02-01 00:00:00.000000 UTC,DIESEL,473
2008-10-01 00:00:00.000000 UTC,DIESEL,332
2014-04-01 00:00:00.000000 UTC,DIESEL,448
2014-10-01 00:00:00.000000 UTC,DIESEL,347
2015-12-01 00:00:00.000000 UTC,DIESEL,337
2005-12-01 00:00:00.000000 UTC,DIESEL,336
2015-01-01 00:00:00.000000 UTC,DIESEL,801
2001-05-01 00:00:00.000000 UTC,DIESEL,283
