monthOfFirstRegistration,fuelType,total
2021-09-01 00:00:00.000000 UTC,PETROL,1873
2021-03-01 00:00:00.000000 UTC,PETROL,2620
2021-04-01 00:00:00.000000 UTC,PETROL,1961
2021-02-01 00:00:00.000000 UTC,ELECTRIC DIESEL,83
2021-07-01 00:00:00.000000 UTC,DIESEL,378
2021-06-01 00:00:00.000000 UTC,ELECTRICITY,272
2021-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,755
2021-01-01 00:00:00.000000 UTC,ELECTRICITY,145
2021-03-01 00:00:00.000000 UTC,ELECTRICITY,280
2021-05-01 00:00:00.000000 UTC,ELECTRICITY,199
2010-03-01 00:00:00.000000 UTC,OTHER,1
2008-12-01 00:00:00.000000 UTC,DIESEL,807
2004-02-01 00:00:00.000000 UTC,DIESEL,2580
2002-07-01 00:00:00.000000 UTC,DIESEL,2130
2002-11-01 00:00:00.000000 UTC,DIESEL,1203
2001-12-01 00:00:00.000000 UTC,DIESEL,440
2003-01-01 00:00:00.000000 UTC,PETROL,3236
2003-11-01 00:00:00.000000 UTC,PETROL,1148
2001-04-01 00:00:00.000000 UTC,PETROL,1692
2001-07-01 00:00:00.000000 UTC,PETROL,1837
2020-04-01 00:00:00.000000 UTC,PETROL,12
2014-04-01 00:00:00.000000 UTC,ELECTRICITY,5
2020-05-01 00:00:00.000000 UTC,ELECTRICITY,50
2019-04-01 00:00:00.000000 UTC,ELECTRICITY,39
2017-07-01 00:00:00.000000 UTC,ELECTRICITY,24
2001-05-01 00:00:00.000000 UTC,GAS BI-FUEL,8
2021-05-01 00:00:00.000000 UTC,ELECTRIC DIESEL,54
2021-03-01 00:00:00.000000 UTC,ELECTRIC DIESEL,154
2010-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,23
2007-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,21
2006-11-01 00:00:00.000000 UTC,HYBRID ELECTRIC,8
2016-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,132
2014-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,24
2008-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,7
2008-04-01 00:00:00.000000 UTC,HYBRID ELECTRIC,6
2013-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,16
2011-01-01 00:00:00.000000 UTC,HYBRID ELECTRIC,36
2015-11-01 00:00:00.000000 UTC,HYBRID ELECTRIC,29
2022-01-01 00:00:00.000000 UTC,ELECTRICITY,264
2021-10-01 00:00:00.000000 UTC,ELECTRICITY,227
2021-12-01 00:00:00.000000 UTC,GAS BI-FUEL,2
2022-01-01 00:00:00.000000 UTC,ELECTRIC DIESEL,74
2021-12-01 00:00:00.000000 UTC,ELECTRIC DIESEL,16
2013-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,45
2022-03-01 00:00:00.000000 UTC,DIESEL,562
2021-11-01 00:00:00.000000 UTC,ELECTRICITY,251
2022-10-01 00:00:00.000000 UTC,ELECTRICITY,291
2022-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,347
2017-07-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2022-07-01 00:00:00.000000 UTC,PETROL,1338
2022-02-01 00:00:00.000000 UTC,DIESEL,345
2022-07-01 00:00:00.000000 UTC,DIESEL,275
2022-07-01 00:00:00.000000 UTC,ELECTRIC DIESEL,64
