variable,BodyType,Fuel,value
2014-07-01,Buses and coaches,Pure Electric,152.0
2014-07-01,Cars,Diesel,10876461.0
2014-07-01,Cars,Other,238503.0
2014-07-01,Cars,Petrol,18980922.0
2014-07-01,Cars,Pure Electric,12071.0
2014-07-01,Heavy goods vehicles,Diesel,489471.0
2014-07-01,Heavy goods vehicles,Other,1152.0
2014-07-01,Heavy goods vehicles,Petrol,2702.0
2014-07-01,Heavy goods vehicles,Pure Electric,491.0
2014-07-01,Light goods vehicles,Diesel,3374639.0
2014-07-01,Light goods vehicles,Other,14732.0
2014-07-01,Light goods vehicles,Petrol,146601.0
2014-07-01,Light goods vehicles,Pure Electric,3971.0
2014-07-01,Motorcycles,Diesel,1196.0
2014-07-01,Motorcycles,Other,1078.0
2014-07-01,Motorcycles,Petrol,1335719.0
2014-07-01,Motorcycles,Pure Electric,949.0
2014-07-01,Other vehicles,Diesel,560664.0
2014-07-01,Other vehicles,Other,86205.0
2014-07-01,Other vehicles,Petrol,70517.0
2014-07-01,Other vehicles,Pure Electric,68.0
2014-10-01,Buses and coaches,Diesel,161819.0
2014-10-01,Buses and coaches,Other,495.0
2014-10-01,Buses and coaches,Petrol,4682.0
2014-10-01,Buses and coaches,Pure Electric,168.0
2014-10-01,Cars,Diesel,10968863.0
2014-10-01,Cars,Other,246560.0
2014-10-01,Cars,Petrol,18746951.0
2014-10-01,Cars,Pure Electric,14328.0
2014-10-01,Heavy goods vehicles,Diesel,486167.0
2014-10-01,Heavy goods vehicles,Other,1125.0
2014-10-01,Heavy goods vehicles,Petrol,2439.0
2014-10-01,Heavy goods vehicles,Pure Electric,486.0
2014-10-01,Light goods vehicles,Diesel,3359301.0
2014-10-01,Light goods vehicles,Other,14310.0
2014-10-01,Light goods vehicles,Petrol,136200.0
2014-10-01,Light goods vehicles,Pure Electric,4099.0
2014-10-01,Motorcycles,Diesel,1103.0
2014-10-01,Motorcycles,Other,1013.0
2014-10-01,Motorcycles,Petrol,1220561.0
2014-10-01,Motorcycles,Pure Electric,895.0
2014-10-01,Other vehicles,Diesel,556149.0
2014-10-01,Other vehicles,Other,87270.0
2014-10-01,Other vehicles,Petrol,66926.0
2014-10-01,Other vehicles,Pure Electric,65.0
2015-01-01,Buses and coaches,Diesel,161800.0
2015-01-01,Buses and coaches,Other,509.0
2015-01-01,Buses and coaches,Petrol,4611.0
2015-01-01,Buses and coaches,Pure Electric,175.0
2015-01-01,Cars,Diesel,11165352.0
2015-01-01,Cars,Other,263097.0
2015-01-01,Cars,Petrol,18727538.0
2015-01-01,Cars,Pure Electric,16997.0
2015-01-01,Heavy goods vehicles,Diesel,486828.0
2015-01-01,Heavy goods vehicles,Other,1101.0
2015-01-01,Heavy goods vehicles,Petrol,2372.0
2015-01-01,Heavy goods vehicles,Pure Electric,466.0
2015-01-01,Light goods vehicles,Diesel,3403956.0
2015-01-01,Light goods vehicles,Other,14267.0
2015-01-01,Light goods vehicles,Petrol,134307.0
2015-01-01,Light goods vehicles,Pure Electric,4183.0
2015-01-01,Motorcycles,Diesel,1061.0
2015-01-01,Motorcycles,Other,969.0
2015-01-01,Motorcycles,Petrol,1210156.0
2015-01-01,Motorcycles,Pure Electric,855.0
2015-01-01,Other vehicles,Diesel,556263.0
2015-01-01,Other vehicles,Other,88459.0
2015-01-01,Other vehicles,Petrol,66304.0
2015-01-01,Other vehicles,Pure Electric,70.0
2015-04-01,Buses and coaches,Diesel,162751.0
2015-04-01,Buses and coaches,Other,502.0
2015-04-01,Buses and coaches,Petrol,4821.0
2015-04-01,Buses and coaches,Pure Electric,180.0
2015-04-01,Cars,Diesel,11370953.0
2015-04-01,Cars,Other,279420.0
2015-04-01,Cars,Petrol,18786578.0
2015-04-01,Cars,Pure Electric,19038.0
2015-04-01,Heavy goods vehicles,Diesel,493170.0
2015-04-01,Heavy goods vehicles,Other,1066.0
2015-04-01,Heavy goods vehicles,Petrol,2503.0
2015-04-01,Heavy goods vehicles,Pure Electric,437.0
2015-04-01,Light goods vehicles,Diesel,3464859.0
2015-04-01,Light goods vehicles,Other,14327.0
2015-04-01,Light goods vehicles,Petrol,140191.0
2015-04-01,Light goods vehicles,Pure Electric,4361.0
2015-04-01,Motorcycles,Diesel,1123.0
2015-04-01,Motorcycles,Other,976.0
2015-04-01,Motorcycles,Petrol,1307515.0
2015-04-01,Motorcycles,Pure Electric,855.0
2015-04-01,Other vehicles,Diesel,562245.0
2015-04-01,Other vehicles,Other,89537.0
2015-04-01,Other vehicles,Petrol,69369.0
2015-04-01,Other vehicles,Pure Electric,70.0
2015-07-01,Buses and coaches,Diesel,163094.0
2015-07-01,Buses and coaches,Other,513.0
2015-07-01,Buses and coaches,Petrol,4796.0
2015-07-01,Buses and coaches,Pure Electric,190.0
2015-07-01,Cars,Diesel,11548315.0
2015-07-01,Cars,Other,295194.0
2015-07-01,Cars,Petrol,18752828.0
2015-07-01,Cars,Pure Electric,21359.0
2015-07-01,Heavy goods vehicles,Diesel,497233.0
2015-07-01,Heavy goods vehicles,Other,992.0
2015-07-01,Heavy goods vehicles,Petrol,2542.0
2015-07-01,Heavy goods vehicles,Pure Electric,417.0
2015-07-01,Light goods vehicles,Diesel,3511276.0
2015-07-01,Light goods vehicles,Other,14214.0
2015-07-01,Light goods vehicles,Petrol,140629.0
2015-07-01,Light goods vehicles,Pure Electric,4494.0
2015-07-01,Motorcycles,Diesel,1116.0
2015-07-01,Motorcycles,Other,1029.0
2015-07-01,Motorcycles,Petrol,1323505.0
2015-07-01,Motorcycles,Pure Electric,911.0
2015-07-01,Other vehicles,Diesel,565587.0
2015-07-01,Other vehicles,Other,91155.0
2015-07-01,Other vehicles,Petrol,69918.0
2015-07-01,Other vehicles,Pure Electric,68.0
2015-10-01,Buses and coaches,Diesel,161691.0
2015-10-01,Buses and coaches,Other,505.0
2015-10-01,Buses and coaches,Petrol,4538.0
2015-10-01,Buses and coaches,Pure Electric,193.0
2015-10-01,Cars,Diesel,11651974.0
2015-10-01,Cars,Other,308603.0
2015-10-01,Cars,Petrol,18597719.0
